Paper_ID,DOI,Title,TR_HardwareAwareness,Decision,Evidence_Page,Evidence_Section,Evidence_Reason,Evidence_Document,Evidence_Source,Rubric_Version
27,10.1109/TMI.2020.2974858,Multi-Contrast Super-Resolution MRI Through a Progressive Network,0,No,1-12,Implementation review,No inference/deployment resource requirement is reported; training hardware does not qualify.,26. Multi-Contrast_Super-Resolution_MRI_Through_a_Progressive_Network.pdf,Article text supplied for verification,LMIC_and_TR_Score_Definitions_2026-08-15
28,10.1016/j.compmedimag.2021.101969,FA-GAN: Fused attentive generative adversarial networks for MRI image super-resolution,0,No,6,Experimental setup,This is experiment/training hardware and is not an inference/deployment requirement.,27. FA-GAN Fused attentive generative adversarial networks for MRI.pdf,Article text supplied for verification,LMIC_and_TR_Score_Definitions_2026-08-15
30,10.1016/j.bspc.2023.105710,Deep learning myocardial infarction segmentation framework from cardiac magnetic resonance images,0,No,1,Highlights,"The article mentions computational hardware or execution, but not explicit minimum inference hardware requirements; the official criterion is No.",28. Deep learning myocardial infarction segmentation framework from cardiac magnetic resonance images - ScienceDirect.pdf,Article text supplied for verification,LMIC_and_TR_Score_Definitions_2026-08-15
31,10.23919/EUSIPCO54536.2021.9615963,ShuffleUNet: Super resolution of diffusion-weighted MRIs using deep learning,0,No,2,Implementation,"An Nvidia V100 is reported for training, but minimum hardware requirements for inference are not specified.",arXiv:2102.12898 (correct ShuffleUNet article),"Author manuscript retrieved from arXiv and matched by title, authors, and DOI",LMIC_and_TR_Score_Definitions_2026-08-15
32,10.1016/j.mri.2020.09.018,Transfer learning in deep neural network based under-sampled MR image reconstruction,0,No,3,Implementation,The cited GPU/RAM environment is for training/experimentation; no inference/deployment requirement is reported.,30. Transfer learning in deep neural network based under-sampled MR image reconstruction.pdf,Article text supplied for verification,LMIC_and_TR_Score_Definitions_2026-08-15
34,10.7759/cureus.71277,Enhancement of Image Quality in Low-Field Knee MR Imaging Using Deep Learning,0,No,Not reported,Full text review,"No qualifying inference/deployment hardware requirement is reported. Under the official rule, absence of explicit qualifying evidence is scored No.",31. Enhancement of Image Quality in Low-Field Knee MR Imaging Using Deep Learning.pdf,Article text supplied for verification,LMIC_and_TR_Score_Definitions_2026-08-15
35,10.1148/radiol.233529,Multisequence 3-T Image Synthesis from 64-mT Low-Field-Strength MRI Using Generative Adversarial Networks in Multiple Sclerosis,0,No,5,Implementation,"The article reports an execution setup, runtime, memory use, or scanner implementation, but it does not explicitly specify minimum hardware requirements for inference; the official criterion is No.",32. Multisequence 3-T Image Synthesis from 64-mT Low-Field-Strength MRI Using.pdf,Article text supplied for verification,LMIC_and_TR_Score_Definitions_2026-08-15
36,10.1007/s00234-024-03448-2,Evaluation of epilepsy lesion visualisation enhancement in low-field MRI using image quality transfer: a preliminary investigation of clinical potential for applications in developing countries,0,No,Not reported,Full text review,"No qualifying inference/deployment hardware requirement is reported. Under the official rule, absence of explicit qualifying evidence is scored No.",33. Evaluation of epilepsy lesion visualisation.pdf,Article text supplied for verification,LMIC_and_TR_Score_Definitions_2026-08-15
37,10.1038/s41598-022-10298-6,Deep learning-based single image super-resolution for low-field MR brain images,0,No,8,Training details,Only training hardware/time is reported; it does not qualify as inference/deployment hardware awareness.,34. Deep learning‑based single image super‑resolution for low‑field MR brain images.pdf,Article text supplied for verification,LMIC_and_TR_Score_Definitions_2026-08-15
38,10.1038/s41598-022-14039-7,Deep learning for fast low-field MRI acquisitions,0,No,3-4,Implementation,Reported GPU is used for model training/experimentation; no inference/deployment requirement is provided.,35. Deep learning for fast low field MRI acquisitions.pdf,Article text supplied for verification,LMIC_and_TR_Score_Definitions_2026-08-15
39,10.1148/radiol.230427,Deep Learning Super-Resolution Reconstruction for Fast and Motion-Robust T2-weighted Prostate MRI,0,No,9,Limitations,"The article reports an execution setup, runtime, memory use, or scanner implementation, but it does not explicitly specify minimum hardware requirements for inference; the official criterion is No.",36. Deep-learning-super-resolution-reconstruction-for-fast-and-motion-robust-t2-weighted-prostate-mri.pdf,Article text supplied for verification,LMIC_and_TR_Score_Definitions_2026-08-15
40,10.3389/fneur.2024.1330203,Super resolution using sparse sampling at portable ultra-low field MR,0,No,1,Abstract,"The article reports an execution setup, runtime, memory use, or scanner implementation, but it does not explicitly specify minimum hardware requirements for inference; the official criterion is No.",37. Super resolution using sparse sampling at portable ultra-low field MR.pdf,Article text supplied for verification,LMIC_and_TR_Score_Definitions_2026-08-15
41,10.3389/fneur.2024.1339223,Bridging the gap: improving correspondence between low-field and high-field magnetic resonance images in young people,0,No,Not reported,Full text review,"No inference/deployment hardware or resource requirement is reported. Under the official rule, absence of explicit qualifying evidence is scored No.",38. Bridging the gap improving correspondence between low-field and high-field magnetic resonance images in young people.pdf,Article text supplied for verification,LMIC_and_TR_Score_Definitions_2026-08-15
42,10.1109/TCI.2020.2964201,MRI Super-Resolution With Ensemble Learning and Complementary Priors,0,No,4,Experimental Implementation,"The GPU is reported for the experiment/training process. No inference/deployment hardware requirement, model-size requirement, or device-tied inference time is reported; training hardware alone does not qualify.",39. MRI_Super-Resolution_With_Ensemble_Learning_and_Complementary_Priors.pdf,Article text supplied for verification,LMIC_and_TR_Score_Definitions_2026-08-15
43,10.3389/frai.2022.928181,SRflow: Deep learning based super-resolution of 4D-flow MRI data,0,No,12-13,Table 5; runtime paragraph,"The article reports an execution setup, runtime, memory use, or scanner implementation, but it does not explicitly specify minimum hardware requirements for inference; the official criterion is No.",40. SRflow Deep learning based super-resolution of 4D-flow MRI data.pdf,Article text supplied for verification,LMIC_and_TR_Score_Definitions_2026-08-15
44,10.1109/TMI.2020.3037187,SMORE: A Self-Supervised Anti-Aliasing and Super-Resolution Algorithm for MRI Using Deep Learning,0,No,10-11,§III-D Time Cost,The K80 is explicitly tied to training. Testing time is reported separately without a specified inference device; training hardware alone must not be counted.,41. SMORE_A_Self-Supervised_Anti-Aliasing_and_Super-Resolution_Algorithm_for_MRI_Using_Deep_Learning.pdf,Article text supplied for verification,LMIC_and_TR_Score_Definitions_2026-08-15
45,10.1109/ICMIPE53131.2021.9698880,SMIR: A Transformer-Based Model for MRI super-resolution reconstruction,0,No,3,§III-A Training and Evaluation,"This is the experimental/training machine. No minimum inference/deployment hardware, model size requirement, or device-tied inference time is reported.",42. SMIR_A_Transformer-Based_Model_for_MRI_super-resolution_reconstruction.pdf,Article text supplied for verification,LMIC_and_TR_Score_Definitions_2026-08-15
46,10.1109/JTEHM.2021.3076152,Autoencoder-Inspired Convolutional Network-Based Super-Resolution Method in MRI,0,No,"1,6,10-11",Abstract; experimental computer setup; Table 6,"The article reports an execution setup, runtime, memory use, or scanner implementation, but it does not explicitly specify minimum hardware requirements for inference; the official criterion is No.",43. Autoencoder-Inspired_Convolutional_Network-Based_Super-Resolution_Method_in_MRI.pdf,Article text supplied for verification,LMIC_and_TR_Score_Definitions_2026-08-15
47,10.1016/j.bspc.2022.104395,A mass correlation based deep learning approach using deep Convolutional neural network to classify the brain tumor,0,No,4-5,Partial Results/implementation,"Implementation details are incomplete in the supplied print, so inference/deployment hardware requirements cannot be assessed. Under the official rule, absence of explicit qualifying evidence is scored No.",44. A mass correlation based deep learning approach using deep Convolutional neural network to classify the brain tumor - ScienceDirect.pdf,Article text supplied for verification,LMIC_and_TR_Score_Definitions_2026-08-15
48,10.1109/ICSCNA58489.2023.10370139,Accuracy Enhancement in Detecting Pituitary Tumors using Deep Learning,0,No,4-5,Model/Conclusion,"The paper gives a general resource-limited suitability claim but does not report inference/deployment CPU/GPU/RAM requirements, model size, or device-tied inference time. This does not meet the strict criterion.",45. Accuracy_Enhancement_in_Detecting_Pituitary_Tumors_Using_Deep_Learning.pdf,Article text supplied for verification,LMIC_and_TR_Score_Definitions_2026-08-15
49,10.1016/j.measurement.2020.108838,A deep convolutional neural network based computer aided diagnosis system for the prediction of Alzheimer's disease in MRI images,0,No,9,Results/Fig. 7,"Execution/classification delay is plotted, but no inference device or deployment hardware requirement is reported; therefore the strict criterion is not met.",46. A deep convolutional neural network based computer aided diagnosis system for the prediction of Alzheimer’s disease in MRI images.pdf,Article text supplied for verification,LMIC_and_TR_Score_Definitions_2026-08-15
50,10.18280/ts.400329,A Novel Deep Learning Approach for Brain Tumors Classification Using MRI Images,0,No,"3,5",Model description; §4.2,"The paper discusses lightweight/mobile deployment and reports the training machine, but gives no inference/deployment hardware requirement, model size in memory, or device-tied inference time. Training hardware cannot qualify.",47. A Novel Deep Learning Approach for Brain Tumors Classification Using MRI Images.pdf,Article text supplied for verification,LMIC_and_TR_Score_Definitions_2026-08-15
51,10.1016/j.cmpb.2019.105150,Automatic myocardial segmentation in dynamic contrast enhanced perfusion MRI using Monte Carlo dropout in an encoder-decoder convolutional neural network,0,No,1-9,Partial implementation details,"The supplied partial PDF omits the implementation/hardware details required to evaluate deployment/inference hardware awareness. Under the official rule, absence of explicit qualifying evidence is scored No.",48. Automatic myocardial segmentation in dynamic contrast enhanced perfusion MRI using Monte Carlo.PDF,Article text supplied for verification,LMIC_and_TR_Score_Definitions_2026-08-15
