Paper_ID,Title,Dataset_Name,Dataset_Public_Availability,Dataset_Real_Simulated,Dataset_Size,Train_Validation_Test_Split,Input_Resolution,Target_Resolution,Input_Field_Strength,Target_Field_Strength,Field_Pathway,MRI_Sequence,MRI_Contrast,Paired_Unpaired,Ground_Truth_Type,Ground_Truth_Source,Low_Field_Data_Provenance,Evidence_Page,Evidence_Section,Evidence_Summary,Dataset_Evidence_Status,Evidence_Source,DOI
11,Super-resolution of brain MRI images based on denoising diffusion probabilistic model,Amsterdam Open MRI Collection (open T1-weighted and diffusion-weighted brain MRI datasets),Public,Real,"928 healthy adults; 27,840 T1 slices; 18,360 diffusion-weighted slices","T1: 26,460 training, remainder validation/testing; DWI: 18,260 training, remainder validation/testing; validation/test subdivision not reported",16 × 16 synthetic low-resolution images,128 × 128 original high-resolution images,Not reported,Not reported,not reported,T1-weighted MRI; diffusion-weighted MRI,T1-weighted; diffusion-weighted (multiple diffusion gradients),Paired by construction,Synthetic degradation/proxy,Original measured 128 × 128 MRI slices; LR images generated by bicubic downsampling,Simulated/downsampled MRI data; scanner field strength not reported,2 | 2 | 3 | 8,§3.1 Data | §3.1 Data | Implementation | Data availability,Dataset: Real; availability: Public; pairing: Paired by construction; ground truth: Synthetic degradation/proxy.,Full text,Full-text article or supplied publisher text,10.1016/j.bspc.2023.104901
12,Fine-tuning deep learning model parameters for improved super-resolution of dynamic MRI with prior-knowledge,CHAOS abdominal MRI benchmark + subject-specific 3 T dynamic MRI,Mixed,Mixed,CHAOS: 40 subjects / 80 volumes (in-phase and opposed-phase); test/generalisation: 3 healthy subjects with static and 10-time-point pseudo-dynamic acquisitions,CHAOS main training/validation 70:30; each of 3 subjects used subject-specific static fine-tuning and dynamic inference,"Artificial LR at 25%, 10%, and 6.25% of k-space; subject HR resolutions 1.09 × 1.09 × 4 mm (subjects 1–2) and 1.36 × 1.36 × 4 mm (subject 3)",Measured HR ground truth at the corresponding 3 T acquisition resolution,3 T for subject-specific dynamic evaluation; CHAOS field strength not reported in article table,3 T for subject-specific dynamic evaluation,standard/high-field only,CHAOS T1 dual in-/opposed-phase; subject T1w FLASH 3D,T1-weighted,Paired by construction,Measured high-resolution reference,Original high-resolution CHAOS/static/dynamic MRI before k-space undersampling,Simulated low-resolution from standard/high-field MRI; no ≤64 mT acquisition,3 | 3 | 7,Table 1 | §2.1 Data | Results,Dataset: Mixed; availability: Mixed; pairing: Paired by construction; ground truth: Measured high-resolution reference.,Full text,Full-text article or supplied publisher text,10.1016/j.artmed.2021.102196
13,3D-MRI super-resolution reconstruction using multi-modality based on multi-resolution CNN,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,unclear,T1-weighted and T2-weighted MRI,T1w auxiliary prior; T2w LR input/HR output,Paired by construction,Synthetic degradation/proxy,HR T2w target paired to LR T2w; exact LR construction not available in supplied extract,Not available,2 | 2 | 6,Method | Results/Conclusion | Network parameter setting snippet,Dataset: Not available; availability: Not available; pairing: Paired by construction; ground truth: Synthetic degradation/proxy.,Partial text,Full-text article or supplied publisher text,10.1016/j.cmpb.2024.108110
14,Super-resolution reconstruction of knee magnetic resonance imaging based on deep learning,IDI public knee MRI dataset,Public,Not available,Not available,Not available,Not available,Not available,Not available,Not available,unclear,Knee MRI; sequence not available,Not available,Paired by construction,Synthetic degradation/proxy,High-resolution reference images used for SR testing; exact LR construction not available,Not available,2 | 6 | 2,Abstract/Results | Experimental settings | Abstract,Dataset: Not available; availability: Public; pairing: Paired by construction; ground truth: Synthetic degradation/proxy.,Partial text,Full-text article or supplied publisher text,10.1016/j.cmpb.2019.105059
15,Deep learning super-resolution reconstruction for fast and high-quality cine cardiovascular magnetic resonance,Prospective 3 T cine CMR cohort,Not reported,Mixed,"30 participants: 20 healthy volunteers, 10 patients","Not applicable for evaluation cohort; vendor SR network pretrained on ~740,000 pairs and trained on >6 million low/high-resolution pairs",cineDL acquired 2.98 × 3.00 mm² in-plane; reconstructed 1.04 × 1.04 mm²; 8-mm slice thickness,cineNR acquired 1.89 × 1.96 mm² in-plane; reconstructed 1.04 × 1.04 mm²; 8-mm slice thickness,3.0 T,3.0 T,standard/high-field only,Balanced steady-state free precession (bSSFP) cine CMR; short-axis and long-axis views,bSSFP cine,Paired,Measured same-subject reference,Prospectively acquired normal-resolution cineNR scans from the same participants,"Real 3 T low-spatial-resolution acquisition, not low-field MRI",1 | 3 | 3 | 3-4,Abstract | CMR protocol / SR network | SR reconstruction | Objective/Subjective image analysis,Dataset: Mixed; availability: Not reported; pairing: Paired; ground truth: Measured same-subject reference.,Full text,Full-text article or supplied publisher text,10.1007/s00330-024-11145-0
16,Convolutional Neural Network-based Enhancement Method of 3D MRI,BrainWeb simulated 3D MRI database,Public,Synthetic/derived,48 3D image volumes used for training; one BrainWeb volume described for practical evaluation,Not reported,"Synthetic LR generated from 1-mm slice-select resolution HR volume by factors 2, 3, and 4, with added noise",Original 1-mm voxel-resolution 3D volume,Not reported,Not reported,not reported,3D brain MRI; sequence/contrast not reported,Not reported,Paired by construction,Simulation/reference model,Original BrainWeb simulated 3D MRI volume,Simulated/downsampled MRI data; no real low-field data,3 | 3 | 3,§IV-A Process of Training Set | Experiments | Experiments,Dataset: Synthetic/derived; availability: Public; pairing: Paired by construction; ground truth: Simulation/reference model.,Full text,Full-text article or supplied publisher text,10.1109/icrest51555.2021.9331123
17,"Cerebrovascular super-resolution 4D Flow MRI - Sequential combination of resolution enhancement by deep learning and physics-informed image processing to non-invasively quantify intracranial velocity, flow, and relative pressure",Patient-specific in-silico cerebrovascular CFD cohort + in-vivo 4D-Flow MRI volunteer cohort,Private,Mixed,"4 in-silico models (Subjects 1, 2, 3a, 3b); 8 healthy in-vivo volunteers","In-silico: Subjects 1–2 training, Subject 3a validation, Subject 3b testing","Synthetic LR/HR pairs: 1.5/0.75, 1.0/0.5, 0.75/0.375 mm isotropic; in-vivo acquired at 1.1 and 0.8 mm isotropic","Synthetic targets 0.75, 0.5, 0.375 mm; in-vivo SR outputs 0.55 and 0.4 mm",3 T for in-vivo cohort; synthetic CFD training has no scanner field,3 T for in-vivo acquired reference comparisons,standard/high-field only,4D Flow MRI; T1-weighted and TOF MRI used in patient-specific model construction,Phase-contrast 4D-Flow magnitude/velocity; T1w/TOF anatomical data,Paired by construction,Simulation/reference model,High-resolution CFD flow/pressure fields for in-silico training/testing; paired higher-resolution in-vivo acquisitions for comparison,Simulated low-spatial-resolution data plus real 3 T data; no real ≤64 mT MRI,3 | 4 | 8 | 3,Fig. 2 | §2.2.2 | Fig. 5 caption | §2.1.1,Dataset: Mixed; availability: Private; pairing: Paired by construction; ground truth: Simulation/reference model.,Full text,Full-text article or supplied publisher text,10.1016/j.media.2023.102831
18,Deep Learning based Early Detection of Alzheimer’s Disease using Image Enhancement Filters,Kaggle Alzheimer's 4-class image dataset,Public,Not reported,"Unclear: text states 1,279 MRI scans, but reported class counts (1,075 + 76 + 2,560 + 2,358) total 6,069",80% train / 20% test; 30% of training set used as validation_split during model training,208 × 176 pixels (JPG images),Not applicable,Not reported,Not applicable,not reported,Not reported,Not reported,Not applicable,Clinical annotation,"Kaggle dementia class labels (Mild, Moderate, Non-Demented, Very Mild); clinical provenance not reported",Neither real low-field nor low-field simulation reported,2 | 2 | 4,§III Dataset | §III Dataset | Reference [8],Dataset: Not reported; availability: Public; pairing: Not applicable; ground truth: Clinical annotation.,Full text,Full-text article or supplied publisher text,10.1109/icaect57570.2023.10117880
19,Deep Learning-based Method for Denoising and Image Enhancement in Low-Field MRI,TCIA PROSTATEx; Prostate-3T; Prostate Fused-MRI-Pathology; Prostate-Diagnosis; Prostate-MRI; Promaxo low-field phantom/human data,Mixed,Mixed,Stage-2 training: 429 PROSTATEx + 57 Prostate-3T image series; independent test: 960 2D slices from 11 T1/T2 series; real low-field sample count Not reported,Training data from TCIA; independent test set explicitly separate from training/testing/validation; validation proportion Not reported,Not reported,Not reported,Simulated Promaxo-specific low-field inputs; real evaluation at 60–67 mT; high-field source images at 1.5 T/3 T,1.5 T/3 T source images used as high-quality references for simulated pairs,mixed,T1; T2; proton density; diffusion-weighted; dynamic contrast-enhanced MRI,T1/T2/PD/DWI/DCE,Paired by construction,Synthetic degradation/proxy,Original high-field TCIA image paired with scanner-specific simulated low-field image,Mixed — model trained on simulated low-field-like data derived from 1.5/3 T images and applied to real 60–67 mT phantom/human scans,"1,3,4",Abstract; Training and testing; Table II,Dataset: Mixed; availability: Mixed; pairing: Paired by construction; ground truth: Synthetic degradation/proxy.,Full text,Full-text article or supplied publisher text,10.1109/ist50367.2021.9651441
20,Deep Transfer Learning-Based Multi-Modal Digital Twins for Enhancement and Diagnostic Analysis of Brain MRI Image,Whole Brain Atlas examples; knee MRI enhancement experiment; six multimodal image-fusion groups,Not reported,Real,Six multimodal image groups were evaluated; knee subject/sample count Not reported,Not reported,Not reported,Not reported,Not reported,Not reported,not reported,MRI enhancement plus MRI-SPECT/MRI-PET fusion; knee MRI acquisition details not fully specified,MRI; MRI-SPECT; MRI-PET; specific MRI contrast Not reported,Not reported,Not reported,Not reported,Neither real low-field nor simulated low-field data are reported,"1,9,10",Affiliations; Experimental setting; Subjective evaluation,Dataset: Real; availability: Not reported; pairing: Not reported; ground truth: Not reported.,Full text,Full-text article or supplied publisher text,10.1109/tcbb.2022.3168189
21,MRI super-resolution using similarity distance and multi-scale receptive field based feature fusion GAN and pre-trained slice interpolation network,IXI dataset; BraTS dataset,Not reported,Mixed,IXI: approximately 600 healthy scans available; 503 selected for experiments; BraTS sample size Not reported in supplied export,IXI: 80:20 train:test; BraTS split Not reported,Three consecutive low-resolution slices; 2× in-plane/out-of-plane scale; absolute LR voxel size Not reported,IXI original/target sagittal images 256 × 256; original volume approximately 256 × 256 × 150,Not reported,Not reported,not reported,T1-weighted MRI explicitly reported for IXI; BraTS modalities not fully reported in supplied export,T1-weighted (IXI); other BraTS contrast Not reported,Unclear,Unclear,Original high-resolution IXI/BraTS images used as reference; exact LR-generation text is incomplete in supplied export,Simulated/downsampled conventional MRI; no real low-field acquisition reported,"1,2,7",Abstract; Dataset description; experiments,Dataset: Mixed; availability: Not reported; pairing: Unclear; ground truth: Unclear.,Full text,Full-text article or supplied publisher text,10.1016/j.mri.2024.04.021
22,Pushing the limits of low-cost ultra-low-field MRI by dual-acquisition deep learning 3D superresolution,HCP S1200 high-field training source plus real 0.055 T volunteer/patient MRI,Mixed,Mixed,HCP: 1248 T1W and 1182 T2W training datasets; 268 validation and 200 testing datasets; real 0.055 T: 30 healthy volunteers and 8 patients (10 healthy used for reproducibility subset),HCP training/validation/testing sets explicitly separated; real volunteer/patient cohorts used for prospective application/validation,3 mm isotropic for real 0.055 T dual acquisitions,1.5 mm isotropic synthetic super-resolution target/output,0.055 T real ULF; training inputs synthesized to ULF characteristics from 3 T HCP data,0.055 T-derived 1.5-mm SR output; 3 T MRI used as high-field reference/comparison,low-field → low-field,3D inversion FSE (T1W); 3D FSE (T2W),T1-weighted; T2-weighted,Paired by construction,Synthetic degradation/proxy,HCP high-resolution 3 T brain MRI used to synthesize paired ULF training data; 3 T same-subject MRI used for real-data comparison,Mixed — training uses synthesized 0.055 T-like data from 3 T HCP; model is applied to real 0.055 T volunteers/patients,"1,3,5,6",Abstract; Training data; Acquisition; patient evaluation,Dataset: Mixed; availability: Mixed; pairing: Paired by construction; ground truth: Synthetic degradation/proxy.,Full text,Full-text article or supplied publisher text,10.1002/mrm.29642
23,Joint B0B0​ and Image Reconstruction in Low-Field MRI by Physics-Informed Deep-Learning,fastMRI 3 T knee source data transformed into simulated ~50 mT low-field experiments,Public,Synthetic/derived,1260 training; 360 validation; 180 testing images,70% training / 20% validation / 10% testing,Not reported,Not reported,"Approximately 50 mT, retrospectively simulated from 3 T knee MRI",Approximately 50 mT reconstructed image/field-map target,low-field → low-field,3D single-coil spin-echo knee MRI,Not reported,Paired by construction,Simulation/reference model,3 T fastMRI knee image plus simulated smooth B0 field maps/noise model,Simulated/downsampled high-field data only; no measured low-field MRI,"1,5,6",Abstract; Simulation Training Data; experiments,Dataset: Synthetic/derived; availability: Public; pairing: Paired by construction; ground truth: Simulation/reference model.,Full text,Full-text article or supplied publisher text,10.1109/tbme.2024.3396223
24,Multi-Contrast Super-Resolution MRI Through a Progressive Network,IXI; NAMIC brain multimodality datasets,Public,Mixed,"IXI: 7000 T2-PD pairs from 56 subjects training, 1955 pairs from 16 subjects testing; NAMIC: 1620 T2-T1 pairs from 18 subjects training, 180 pairs from 2 subjects testing",Dataset-specific training/test subject splits; IXI additionally reports 10-fold cross-validation,"2×, 3×, and 4× downsampled T2 inputs from original 256 × 256 HR images; patch training 64 × 64",256 × 256 high-resolution T2 target,Not reported,Not reported,not reported,T2-weighted super-resolution with PD or T1 high-resolution reference contrast,T2 target; PD reference (IXI); T1 reference (NAMIC),Paired by construction,Synthetic degradation/proxy,Original high-resolution T2 image; registered PD/T1 same-subject images provide multi-contrast reference information,Simulated/downsampled conventional MRI; no real low-field acquisition reported,"5,10",Dataset description; reader study,Dataset: Mixed; availability: Public; pairing: Paired by construction; ground truth: Synthetic degradation/proxy.,Full text,Full-text article or supplied publisher text,10.1109/tmi.2020.2974858
25,FA-GAN: Fused attentive generative adversarial networks for MRI image super-resolution,"Four MRI datasets covering cardiac, brain, knee and whole-heart/multimodal experiments",Not reported,Mixed,50 3D MRI samples selected: 40 training (3200 2D images) and 10 validation (960 2D images); abstract calls 10 sets 'test'; an additional independent 10-sample test is also described,"Unclear — Methods reports 40 train/10 validation plus independent tests, whereas the abstract describes 40 train/10 test",Low-resolution images generated by bicubic interpolation at multiple scale factors; absolute LR voxel size Not reported,Original high-resolution MRI; absolute voxel size Not reported,Not reported,Not reported,not reported,Multiple MRI datasets/anatomies; specific acquisition sequences not consistently reported,Not reported,Paired by construction,Synthetic degradation/proxy,Original high-resolution MRI corresponding to bicubic-generated low-resolution inputs,Simulated/downsampled conventional MRI; no real low-field acquisition reported,"1,6",Abstract; Experimental setup,Dataset: Mixed; availability: Not reported; pairing: Paired by construction; ground truth: Synthetic degradation/proxy.,Full text,Full-text article or supplied publisher text,10.1016/j.compmedimag.2021.101969
26,Deep learning myocardial infarction segmentation framework from cardiac magnetic resonance images,EMIDEC benchmark MRI dataset,Public,Real,Not available,Not available,256 × 256 pixels after preprocessing resize; original acquisition resolution Not available,256 × 256 segmentation-mask grid after preprocessing,Not available,Not applicable,Not available,Short-axis delayed-enhancement/late-gadolinium-enhancement cardiac MRI,Late gadolinium enhancement (LGE/DE-MRI),Not applicable,Clinical annotation,EMIDEC segmentation labels/ground truth,Not available,1-7,Abstract; Introduction; Methodology snippets; preprocessing,Dataset: Real; availability: Public; pairing: Not applicable; ground truth: Clinical annotation.,Partial text,Full-text article or supplied publisher text,10.1016/j.bspc.2023.105710
27,ShuffleUNet: Super resolution of diffusion-weighted MRIs using deep learning,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,1,PDF identity check,Dataset: Not available; availability: Not available; pairing: Not available; ground truth: Not available.,Not available,Full-text article or supplied publisher text,10.23919/eusipco54536.2021.9615963
28,Transfer learning in deep neural network based under-sampled MR image reconstruction,1.5 T MS brain source dataset; OASIS-3 3 T brain; York University cardiac MRI; derived acceleration-factor target domains,Mixed,Mixed,Source: 1407 brain images from 30 MS patients training and 431 images from 8 other MS patients testing; target fine-tuning uses 50–500 images; cardiac dataset acquired from 33 patients,Source-domain train/test explicitly separated; target-domain fine-tuning sizes 50/100/300/500 or 50/200/300/500 depending experiment; 431 target-domain test images for AF 2/6,"256 × 256 images; under-sampled k-space inputs at AF 2, 4, or 6",Fully sampled artifact-free 256 × 256 MR image,1.5 T and 3 T,Same field strength as each corresponding fully sampled reference,standard/high-field only,T2-weighted turbo spin-echo brain MRI; cardiac FIESTA,T2-weighted brain; FIESTA/bSSFP cardiac,Paired by construction,Measured same-subject reference,Fully sampled artifact-free MR image used as label for the corresponding under-sampled input,Neither real low-field nor low-field simulation; conventional 1.5 T/3 T data with synthetic k-space undersampling,"1,3-5",Abstract; Methods; dataset descriptions,Dataset: Mixed; availability: Mixed; pairing: Paired by construction; ground truth: Measured same-subject reference.,Full text,Full-text article or supplied publisher text,10.1016/j.mri.2020.09.018
29,Enhancement of Image Quality in Low-Field Knee MR Imaging Using Deep Learning,Single-center 3 T knee training cohort and independent 0.4 T knee clinical evaluation cohort,Private,Mixed,3 T: 45 patients with knee disorders + 6 normal subjects; 0.4 T: 25 patients with knee disorders,3 T cohort used for model training; separate 0.4 T cohort used for clinical evaluation; no random train/validation/test percentages reported,SR model input 256 × 256 after downsampling/upsampling training preparation; original 0.4 T matrices vary by sequence,448 × 448 SR output,Training source 3 T; real deployment/evaluation input 0.4 T,0.4 T-derived enhanced output; 3 T high-quality data used for training reference,mixed,T1WI; T2WI; fat-suppressed T2WI/STIR knee MRI,T1-weighted; T2-weighted; fat-suppressed T2/STIR,Paired by construction,Synthetic degradation/proxy,High-resolution 3 T knee MRI used to construct low-resolution training inputs and corresponding targets,Mixed — model trained on synthetically degraded 3 T images and applied to real 0.4 T clinical MRI,1-4,Abstract; MRI protocol; DL model development,Dataset: Mixed; availability: Private; pairing: Paired by construction; ground truth: Synthetic degradation/proxy.,Full text,Full-text article or supplied publisher text,10.7759/cureus.71277
30,Multisequence 3-T Image Synthesis from 64-mT Low-Field-Strength MRI Using Generative Adversarial Networks in Multiple Sclerosis,Paired 64 mT Hyperfine and 3 T Siemens MS cohort from University of Pennsylvania and NIH; separate validation group,Private,Real,50 participants in main group; 13 participants in validation group,Leave-five-out cross-validation within main group using 10 models; separate 13-participant clinical validation group,64 mT: T1/T2 1.5 × 1.5 × 5 mm; FLAIR 1.6 × 1.6 × 5 mm,3 T: T1-weighted 1 mm isotropic; T2 0.5 × 0.5 × 5 mm or 0.3 × 0.3 × 3 mm; FLAIR high-resolution protocol,64 mT,3 T measured same-subject target/reference,low-field → standard/high-field,T1-weighted; T2-weighted; FLAIR,T1; T2; FLAIR,Paired,Measured same-subject reference,Same-day 3 T MRI from the same participants (main group); clinical 3 T scans for validation group,Real low-field data — portable 64 mT MRI paired with real 3 T data,1-5,Abstract; MRI Scanning Procedures; DL Model; validation,Dataset: Real; availability: Private; pairing: Paired; ground truth: Measured same-subject reference.,Full text,Full-text article or supplied publisher text,10.1148/radiol.233529
31,Evaluation of epilepsy lesion visualisation enhancement in low-field MRI using image quality transfer: a preliminary investigation of clinical potential for applications in developing countries,12-patient paired 0.36 T/1.5 T pediatric epilepsy cohort in Nigeria; public HCP and Leipzig high-field training data,Mixed,Mixed,12 pediatric patients for clinical evaluation; public-training sample count Not reported in this paper,Clinical cohort evaluated as a paired reader-study set; training split not reported in this paper,"Clinical LF/HF axial images: 0.5 mm in-plane, 5 mm slice thickness, 1 mm gap",IQT-enhanced LF output compared with measured 1.5 T high-field reference; exact output voxel grid Not reported,0.36 T real low-field clinical MRI; training LF inputs synthetically generated from high-field data,1.5 T measured same-subject high-field reference; training target is high-resolution high-field image,low-field → standard/high-field,T1-weighted; T2-weighted; FLAIR,T1; T2; FLAIR,Paired,Measured same-subject reference,1.5 T MRI from the same pediatric patients for clinical evaluation; HCP/Leipzig high-field images for training target,Mixed — training uses synthetic LF images derived from high-field datasets; clinical evaluation uses real 0.36 T MRI,"1-4,9",Abstract; Methods; IQT training; radiologist evaluation; Data availability,Dataset: Mixed; availability: Mixed; pairing: Paired; ground truth: Measured same-subject reference.,Full text,Full-text article or supplied publisher text,10.1007/s00234-024-03448-2
